entity,label,source_url
Octopus vulgaris,ORG,https://fr.wikipedia.org/wiki/Pieuvre%20commune
Répartition,LOC,https://fr.wikipedia.org/wiki/Pieuvre%20commune
mer Méditerranée,LOC,https://fr.wikipedia.org/wiki/Pieuvre%20commune
Angleterre,LOC,https://fr.wikipedia.org/wiki/Pieuvre%20commune
Sénégal,LOC,https://fr.wikipedia.org/wiki/Pieuvre%20commune
Açores,LOC,https://fr.wikipedia.org/wiki/Pieuvre%20commune
Canaries,LOC,https://fr.wikipedia.org/wiki/Pieuvre%20commune
Cap-Vert,LOC,https://fr.wikipedia.org/wiki/Pieuvre%20commune
Habitat,LOC,https://fr.wikipedia.org/wiki/Pieuvre%20commune
Comportement,LOC,https://fr.wikipedia.org/wiki/Pieuvre%20commune
Intelligence,LOC,https://fr.wikipedia.org/wiki/Pieuvre%20commune
Animals,ORG,https://fr.wikipedia.org/wiki/Pieuvre%20commune
Scientific Procedures),MISC,https://fr.wikipedia.org/wiki/Pieuvre%20commune
ASPA,ORG,https://fr.wikipedia.org/wiki/Pieuvre%20commune
Royaume-Uni,LOC,https://fr.wikipedia.org/wiki/Pieuvre%20commune
Inky,MISC,https://fr.wikipedia.org/wiki/Pieuvre%20commune
Aquarium national de Nouvelle-Zélande,LOC,https://fr.wikipedia.org/wiki/Pieuvre%20commune
Napier,PER,https://fr.wikipedia.org/wiki/Pieuvre%20commune
Pacifique,LOC,https://fr.wikipedia.org/wiki/Pieuvre%20commune
Pêche,LOC,https://fr.wikipedia.org/wiki/Pieuvre%20commune
Afrique,LOC,https://fr.wikipedia.org/wiki/Pieuvre%20commune
Captivité,LOC,https://fr.wikipedia.org/wiki/Pieuvre%20commune
La Sagesse de la pieuvre,MISC,https://fr.wikipedia.org/wiki/Pieuvre%20commune
My Octopus Teacher,MISC,https://fr.wikipedia.org/wiki/Pieuvre%20commune
Pippa Ehrlich,PER,https://fr.wikipedia.org/wiki/Pieuvre%20commune
James Reed,PER,https://fr.wikipedia.org/wiki/Pieuvre%20commune
Oscar 2021 du meilleur film documentaire,MISC,https://fr.wikipedia.org/wiki/Pieuvre%20commune
Galerie,LOC,https://fr.wikipedia.org/wiki/Pieuvre%20commune
Wikipédia,MISC,https://fr.wikipedia.org/wiki/Pieuvre%20commune
Common octopus,ORG,https://fr.wikipedia.org/wiki/Pieuvre%20commune
Articles,LOC,https://fr.wikipedia.org/wiki/Pieuvre%20commune
Paul,PER,https://fr.wikipedia.org/wiki/Pieuvre%20commune
BioLib,MISC,https://fr.wikipedia.org/wiki/Pieuvre%20commune
Octopus vulgaris,PER,https://fr.wikipedia.org/wiki/Pieuvre%20commune
Cuvier,PER,https://fr.wikipedia.org/wiki/Pieuvre%20commune
ITIS,LOC,https://fr.wikipedia.org/wiki/Pieuvre%20commune
Octopus vulgaris Cuvier,PER,https://fr.wikipedia.org/wiki/Pieuvre%20commune
