subject,subject_label,relation,object,object_label,sentence,source_url
pieuvre,SPECIES,rejeter,l' eau quand ses branchies en ont prélevé l' oxygène,NOUN,La pieuvre a un siphon juste derrière la tête sur un côté de son manteau qu'elle utilise de trois façons : fréquemment pour rejeter l'eau quand ses branchies en ont prélevé l'oxygène ;,https://fr.wikipedia.org/wiki/Pieuvre%20commune
pieuvre,SPECIES,prélever,l' oxygène,NOUN,La pieuvre a un siphon juste derrière la tête sur un côté de son manteau qu'elle utilise de trois façons : fréquemment pour rejeter l'eau quand ses branchies en ont prélevé l'oxygène ;,https://fr.wikipedia.org/wiki/Pieuvre%20commune
pieuvre commune,SPECIES,entreprendre,la construction d' un refuge,NOUN,"Lorsqu'elle se trouve dans un milieu sablonneux, la pieuvre commune entreprend parfois la construction d'un refuge.",https://fr.wikipedia.org/wiki/Pieuvre%20commune
pieuvre commune,SPECIES,guette,ses proies,NOUN,"La pieuvre commune chasse au crépuscule, terrée dans les trous et les anfractuosités, où elle guette ses proies.",https://fr.wikipedia.org/wiki/Pieuvre%20commune
pieuvre,SPECIES,utiliser,son bec,NOUN,"Si la victime est un mollusque bivalve, la pieuvre utilise son bec pour percer un trou dans la coque avant de sucer le contenu charnu.",https://fr.wikipedia.org/wiki/Pieuvre%20commune
pieuvre,SPECIES,percer,un trou dans la coque,NOUN,"Si la victime est un mollusque bivalve, la pieuvre utilise son bec pour percer un trou dans la coque avant de sucer le contenu charnu.",https://fr.wikipedia.org/wiki/Pieuvre%20commune
pieuvre,SPECIES,sucer,le contenu charnu,NOUN,"Si la victime est un mollusque bivalve, la pieuvre utilise son bec pour percer un trou dans la coque avant de sucer le contenu charnu.",https://fr.wikipedia.org/wiki/Pieuvre%20commune
pieuvre commune,SPECIES,distinguer,la luminosité,NOUN,"Des expériences d'apprentissage ont montré que la pieuvre commune peut distinguer la luminosité, la taille, la forme et l'orientation verticale ou horizontale des objets.",https://fr.wikipedia.org/wiki/Pieuvre%20commune
pieuvre commune,SPECIES,distinguer,"la taille , la forme et l' orientation verticale ou horizontale des objets",NOUN,"Des expériences d'apprentissage ont montré que la pieuvre commune peut distinguer la luminosité, la taille, la forme et l'orientation verticale ou horizontale des objets.",https://fr.wikipedia.org/wiki/Pieuvre%20commune
pieuvre commune,SPECIES,dévisser,un pot contenant de la nourriture,NOUN,"La pieuvre commune est assez intelligente pour apprendre à dévisser un pot contenant de la nourriture, elle est aussi connue pour sa capacité à piller les casiers à homards.",https://fr.wikipedia.org/wiki/Pieuvre%20commune
pieuvre commune,SPECIES,piller,les casiers à homards,NOUN,"La pieuvre commune est assez intelligente pour apprendre à dévisser un pot contenant de la nourriture, elle est aussi connue pour sa capacité à piller les casiers à homards.",https://fr.wikipedia.org/wiki/Pieuvre%20commune
