private_entity,external_uri,external_label,confidence,linked
Octopus vulgaris,http://www.wikidata.org/entity/Q651361,pieuvre commune,0.85,True
Répartition,http://www.wikidata.org/entity/Q2286103,répartition des sièges,0.85,True
mer Méditerranée,http://www.wikidata.org/entity/Q4918,mer Méditerranée,1.0,True
Angleterre,http://www.wikidata.org/entity/Q21,Angleterre,1.0,True
Sénégal,http://www.wikidata.org/entity/Q1041,Sénégal,1.0,True
Açores,http://www.wikidata.org/entity/Q25263,Açores,1.0,True
Canaries,http://www.wikidata.org/entity/Q5813,îles Canaries,0.85,True
Cap-Vert,http://www.wikidata.org/entity/Q1011,Cap-Vert,1.0,True
Habitat,http://www.wikidata.org/entity/Q52105,habitat,1.0,True
Comportement,http://www.wikidata.org/entity/Q9332,comportement,1.0,True
Intelligence,http://www.wikidata.org/entity/Q1665657,Intelligence,1.0,True
Animals,http://www.wikidata.org/entity/Q27725748,Animals,1.0,True
Scientific Procedures),,,0.0,False
ASPA,http://www.wikidata.org/entity/Q106489809,Aspa,1.0,True
Royaume-Uni,http://www.wikidata.org/entity/Q145,Royaume-Uni,1.0,True
Inky,http://www.wikidata.org/entity/Q173626,Pac-Man,0.85,True
Aquarium national de Nouvelle-Zélande,http://www.wikidata.org/entity/Q29210,National Aquarium of New Zealand,0.85,True
Pacifique,http://www.wikidata.org/entity/Q98,océan Pacifique,0.85,True
Pêche,http://www.wikidata.org/entity/Q14373,pêche,1.0,True
Afrique,http://www.wikidata.org/entity/Q15,Afrique,1.0,True
Captivité,http://www.wikidata.org/entity/Q853735,emprisonnement,0.85,True
La Sagesse de la pieuvre,http://www.wikidata.org/entity/Q99372651,La Sagesse de la pieuvre,1.0,True
My Octopus Teacher,http://www.wikidata.org/entity/Q99372651,La Sagesse de la pieuvre,0.85,True
Oscar 2021 du meilleur film documentaire,,,0.0,False
Galerie,http://www.wikidata.org/entity/Q21167233,galerie,1.0,True
Wikipédia,http://www.wikidata.org/entity/Q52,Wikipédia,1.0,True
Common octopus,http://www.wikidata.org/entity/Q651361,pieuvre commune,0.85,True
Articles,http://www.wikidata.org/entity/Q768186,articles de sport,0.85,True
BioLib,http://www.wikidata.org/entity/Q12345690,Biological Library,0.85,True
ITIS,http://www.wikidata.org/entity/Q82575,système d'information taxonomique intégré,0.85,True
Animal Diversity,http://www.wikidata.org/entity/Q2850008,Animal Diversity Web,0.85,True
Web,http://www.wikidata.org/entity/Q1201886,Web of Science,0.85,True
NCBI,http://www.wikidata.org/entity/Q82494,National Center for Biotechnology Information,0.85,True
Octopus vulgaris Cuvier,http://www.wikidata.org/entity/Q43378820,"OCTOPUS VULGARIS CUVIER, 1797 AND LOLIGO VULGARIS LAMARCK, 1798 (MOLLUSCA, CEPHALOPODA): PROPOSED CONSERVATION OF THE SPECIFIC NAMES",0.85,True
TAXREF,http://www.wikidata.org/entity/Q26924544,TAXREF,1.0,True
Liens,http://www.wikidata.org/entity/Q171318,parenté,0.85,True
Portail de la biologie marine,,,0.0,False
Octopodidae,http://www.wikidata.org/entity/Q1202874,Octopodidae,1.0,True
Pacifique-Nord,http://www.wikidata.org/entity/Q29948568,Pacifique Nord,0.85,True
Kraken,http://www.wikidata.org/entity/Q22906202,Kraken,1.0,True
Lutte sur pieuvre,http://www.wikidata.org/entity/Q2902218,Lutte sur pieuvre,1.0,True
Mega Shark vs,http://www.wikidata.org/entity/Q1984649,Mega Shark vs. Giant Octopus,0.85,True
Giant Octopus,http://www.wikidata.org/entity/Q912404,Pieuvre géante du Pacifique,0.85,True
Catalogue of Life : Enteroctopus dofleini,,,0.0,False
Wülker,http://www.wikidata.org/entity/Q60199538,Wülker,1.0,True
WoRMS,http://www.wikidata.org/entity/Q604063,World Register of Marine Species,0.85,True
Site anglais,,,0.0,False
Faune,http://www.wikidata.org/entity/Q729,animal,0.85,True
Canada,http://www.wikidata.org/entity/Q16,Canada,1.0,True
Science et vie,http://www.wikidata.org/entity/Q3475754,Science et Vie,1.0,True
Octopus cyanea,http://www.wikidata.org/entity/Q3791011,Octopus cyanea,1.0,True
océan Pacifique,http://www.wikidata.org/entity/Q98,océan Pacifique,1.0,True
océan Indien,http://www.wikidata.org/entity/Q1239,océan Indien,1.0,True
Indo-pacifique tropical,,,0.0,False
Octopus cyanea Gray,,,0.0,False
Catalogue of Life : Octopus cyanea Gray,,,0.0,False
DORIS,http://www.wikidata.org/entity/Q3094766,Doris,1.0,True
Poulpe,http://www.wikidata.org/entity/Q13219075,pieuvre,0.85,True
SousLesMers,,,0.0,False
Portail de l’océan Indien,,,0.0,False
Pieuvre blanche,http://www.wikidata.org/entity/Q3201483,pieuvre blanche,1.0,True
Méditerranée,http://www.wikidata.org/entity/Q4918,mer Méditerranée,0.85,True
Atlantique,http://www.wikidata.org/entity/Q97,océan Atlantique,0.85,True
Distribution,http://www.wikidata.org/entity/Q200726,loi de probabilité,0.85,True
Eledone,http://www.wikidata.org/entity/Q2616467,Eledone,1.0,True
Atlantique Nord-Est,,,0.0,False
Manche,http://www.wikidata.org/entity/Q12589,Manche,1.0,True
mer du Nord,http://www.wikidata.org/entity/Q1693,mer du Nord,1.0,True
l'Europe,http://www.wikidata.org/entity/Q3203342,L'Europe,1.0,True
Cycle de vie,http://www.wikidata.org/entity/Q513359,cycle de vie,1.0,True
Cependant dans de rares cas,,,0.0,False
Espèce benthique,,,0.0,False
Nord,http://www.wikidata.org/entity/Q12661,Nord,1.0,True
Est de la Tunisie,,,0.0,False
Italie,http://www.wikidata.org/entity/Q38,Italie,1.0,True
mer Tyrrhénienne centrale,,,0.0,False
mer Ligure,http://www.wikidata.org/entity/Q42820,mer ligure,1.0,True
Contamination,http://www.wikidata.org/entity/Q54807004,Contamination,1.0,True
Asie,http://www.wikidata.org/entity/Q48,Asie,1.0,True
Europe,http://www.wikidata.org/entity/Q46,Europe,1.0,True
Cd,http://www.wikidata.org/entity/Q974,République démocratique du Congo,0.85,True
Ag,http://www.wikidata.org/entity/Q1090,argent,0.85,True
Fe,http://www.wikidata.org/entity/Q677,fer,0.85,True
Cr,http://www.wikidata.org/entity/Q800,Costa Rica,0.85,True
Mn,http://www.wikidata.org/entity/Q711,Mongolie,0.85,True
Pb,http://www.wikidata.org/entity/Q708,plomb,0.85,True
Zn,http://www.wikidata.org/entity/Q758,zinc,0.85,True
Co,http://www.wikidata.org/entity/Q739,Colombie,0.85,True
Cu,http://www.wikidata.org/entity/Q241,Cuba,0.85,True
Ni,http://www.wikidata.org/entity/Q811,Nicaragua,0.85,True
Pseudo-nitzschia,http://www.wikidata.org/entity/Q891709,Pseudo-nitzschia,1.0,True
Octopus,http://www.wikidata.org/entity/Q611843,poulpe,0.85,True
Coconut,http://www.wikidata.org/entity/Q525723,Coconut,1.0,True
université de Californie,http://www.wikidata.org/entity/Q184478,Université de Californie,1.0,True
Berkeley,http://www.wikidata.org/entity/Q484678,Berkeley,1.0,True
Abdopus,http://www.wikidata.org/entity/Q4665132,Abdopus,1.0,True
Célèbes,http://www.wikidata.org/entity/Q3812,Célèbes,1.0,True
Indonésie,http://www.wikidata.org/entity/Q252,Indonésie,1.0,True
Aire,http://www.wikidata.org/entity/Q403349,Aire,1.0,True
Philippines,http://www.wikidata.org/entity/Q928,Philippines,1.0,True
Ressources,http://www.wikidata.org/entity/Q44497,exploitation minière,0.85,True
Australian,http://www.wikidata.org/entity/Q167402,Australian Plant Name Index,0.85,True
Catalogue of Life : Amphioctopus marginatus,,,0.0,False
including two new genera of the Octopodinae,,,0.0,False
Journal of the Faculty of Fisheries and Animal,http://www.wikidata.org/entity/Q113477332,"Journal of the Faculty of Fisheries and Animal Husbandry, Hiroshima University",0.85,True
Hiroshima University,http://www.wikidata.org/entity/Q115220,université de Hiroshima,0.85,True
Callistoctopus macropus,http://www.wikidata.org/entity/Q13449622,Callistoctopus macropus,1.0,True
Biotope,http://www.wikidata.org/entity/Q175208,biotope,1.0,True
Octopus macropus,http://www.wikidata.org/entity/Q2235326,Octopus macropus,1.0,True
Érythrée,http://www.wikidata.org/entity/Q986,Érythrée,1.0,True
Kenya,http://www.wikidata.org/entity/Q114,Kenya,1.0,True
Madagascar,http://www.wikidata.org/entity/Q1019,Madagascar,1.0,True
Île Maurice,http://www.wikidata.org/entity/Q1027,Maurice,0.85,True
Mozambique,http://www.wikidata.org/entity/Q1029,Mozambique,1.0,True
La Réunion,http://www.wikidata.org/entity/Q17070,La Réunion,1.0,True
Seychelles,http://www.wikidata.org/entity/Q1042,Seychelles,1.0,True
Somalie,http://www.wikidata.org/entity/Q1045,Somalie,1.0,True
Tanzanie,http://www.wikidata.org/entity/Q924,Tanzanie,1.0,True
Mer Rouge,http://www.wikidata.org/entity/Q23406,mer Rouge,1.0,True
Mer Méditerranée,http://www.wikidata.org/entity/Q4918,mer Méditerranée,1.0,True
Observatoire océanologique de Banyuls-sur-Mer,http://www.wikidata.org/entity/Q2013017,observatoire océanologique de Banyuls-sur-Mer,1.0,True
Catalogue of Life :,,,0.0,False
Risso,http://www.wikidata.org/entity/Q21447051,Risso,1.0,True
Tremoctopidae,http://www.wikidata.org/entity/Q1417783,Tremoctopus,0.85,True
Tremoctopus,http://www.wikidata.org/entity/Q1417783,Tremoctopus,1.0,True
T. violaceus,,,0.0,False
Nouvelle-Zélande,http://www.wikidata.org/entity/Q664,Nouvelle-Zélande,1.0,True
Tremoctopus gracilis,http://www.wikidata.org/entity/Q14503627,Tremoctopus gracilis,1.0,True
Souleyet,http://www.wikidata.org/entity/Q104854779,Souleyet,1.0,True
Indo-Pacifique,http://www.wikidata.org/entity/Q1547309,bassin Indo-Pacifique,0.85,True
Tree of Life Web Project : Tremoctopus,,,0.0,False
Catalogue of Life : Tremoctopus delle Chiaje,,,0.0,False
K.M.,http://www.wikidata.org/entity/Q1732288,Karl Maria Heller,0.85,True
M. & Young,,,0.0,False
R.E.,http://www.wikidata.org/entity/Q134969,R.E.M.,0.85,True
Version 16 October 2008,,,0.0,False
bassin Indopacifique,,,0.0,False
Hapalochlaena fasciata,http://www.wikidata.org/entity/Q2120872,Hapalochlaena fasciata,1.0,True
Gaimard,http://www.wikidata.org/entity/Q553809,Joseph Paul Gaimard,0.85,True
Adam,http://www.wikidata.org/entity/Q347181,Adam,1.0,True
Hapalochlaena,http://www.wikidata.org/entity/Q540649,Hapalochlaena,1.0,True
Wunderpus photogenicus,http://www.wikidata.org/entity/Q140098,Wunderpus photogenicus,1.0,True
Wunderpus,http://www.wikidata.org/entity/Q38489076,Wunderpus,1.0,True
Thaumoctopus mimicus,http://www.wikidata.org/entity/Q132999,pieuvre mimétique,0.85,True
Océanie,http://www.wikidata.org/entity/Q538,Océanie,1.0,True
Publication,http://www.wikidata.org/entity/Q732577,publication,1.0,True
Hochberg,http://www.wikidata.org/entity/Q1296562,Hochberg,1.0,True
gen,http://www.wikidata.org/entity/Q146233,génitif,0.85,True
new octopus from the shallow waters of the Indo-Malayan,,,0.0,False
Cephalopoda,http://www.wikidata.org/entity/Q128257,Cephalopoda,1.0,True
ISSN 1323-5818,,,0.0,False
Référence,http://www.wikidata.org/entity/Q121769,référence,1.0,True
Norman & Finn,,,0.0,False
Catalogue of Life,http://www.wikidata.org/entity/Q38840,Catalogue of Life,1.0,True
Australie,http://www.wikidata.org/entity/Q408,Australie,1.0,True
Hôte,http://www.wikidata.org/entity/Q27686,hôtel,0.85,True
Indien,http://www.wikidata.org/entity/Q10450,Indien,1.0,True
Grande Barrière de corail,http://www.wikidata.org/entity/Q7343,grande barrière de corail,1.0,True
Nouvelle-Calédonie,http://www.wikidata.org/entity/Q33788,Nouvelle-Calédonie,1.0,True
Espèces,http://www.wikidata.org/entity/Q183368,espèce envahissante,0.85,True
Nouvelle-Galles du Sud,http://www.wikidata.org/entity/Q3224,Nouvelle-Galles du Sud,1.0,True
baie du,http://www.wikidata.org/entity/Q2879416,Baie-du-Febvre,0.85,True
Bengale,http://www.wikidata.org/entity/Q80338,Bengale,1.0,True
Octopussy,http://www.wikidata.org/entity/Q204398,Octopussy,1.0,True
NCIS,http://www.wikidata.org/entity/Q4525,NCIS : Enquêtes spéciales,0.85,True
Enquêtes spéciales,http://www.wikidata.org/entity/Q3054568,Enquêtes spéciales,1.0,True
État d'urgence,http://www.wikidata.org/entity/Q3591820,État d'urgence,1.0,True
One Piece,http://www.wikidata.org/entity/Q710324,One Piece,1.0,True
Hyomon-dako,,,0.0,False
Catalogue of Life : Hapalochlaena maculosa,,,0.0,False
Hapalochlaena maculosa,http://www.wikidata.org/entity/Q1850495,Pieuvre aux anneaux bleus,0.85,True
PDF,http://www.wikidata.org/entity/Q42332,Portable Document Format,0.85,True
Subaqua,http://www.wikidata.org/entity/Q3246517,sous le niveau de la mer,0.85,True
Pieuvre,http://www.wikidata.org/entity/Q13219075,pieuvre,1.0,True
ordre Octopoda,,,0.0,False
Étymologie,http://www.wikidata.org/entity/Q35245,étymologie,1.0,True
Languedoc,http://www.wikidata.org/entity/Q206221,Languedoc,1.0,True
Guernesey,http://www.wikidata.org/entity/Q3311985,Guernesey,1.0,True
Les Travailleurs de la mer,http://www.wikidata.org/entity/Q3235800,Les Travailleurs de la mer,1.0,True
Camargue,http://www.wikidata.org/entity/Q218151,Camargue,1.0,True
Cirrates,,,0.0,False
Pieuvre à anneaux bleus —,,,0.0,False
Pieuvre boréale,,,0.0,False
Bathypolypus,http://www.wikidata.org/entity/Q2891314,Bathypolypus,1.0,True
Pieuvre chatrou de nuit,,,0.0,False
Pieuvre commune,http://www.wikidata.org/entity/Q651361,pieuvre commune,1.0,True
Pieuvre diurne —,,,0.0,False
Octopus cyanea Pieuvre géante du Pacifique,,,0.0,False
Enteroctopus,http://www.wikidata.org/entity/Q2002060,Enteroctopus,1.0,True
Callistoctopus macropus Pieuvre ocellée,,,0.0,False
Octopus ocellatus,http://www.wikidata.org/entity/Q1062264,Octopus ocellatus,1.0,True
Callistoctopus macropus Pieuvre musquée,,,0.0,False
Pieuvre photogénique,http://www.wikidata.org/entity/Q140098,Wunderpus photogenicus,0.85,True
Octopus cyanea Pieuvre de récif caraïbe,,,0.0,False
Gros poulpe,,,0.0,False
Octopodes,http://www.wikidata.org/entity/Q40152,Octopoda,0.85,True
Biologie,http://www.wikidata.org/entity/Q420,biologie,1.0,True
Pieuvre géante du,http://www.wikidata.org/entity/Q912404,Pieuvre géante du Pacifique,0.85,True
Alimentation,http://www.wikidata.org/entity/Q2095,nourriture,0.85,True
Reproduction,http://www.wikidata.org/entity/Q11990,reproduction,1.0,True
Locomotion,http://www.wikidata.org/entity/Q2633862,locomotion,1.0,True
Pieuvre aux anneaux bleus,http://www.wikidata.org/entity/Q1850495,Pieuvre aux anneaux bleus,1.0,True
Rascasse,http://www.wikidata.org/entity/Q824672,Pterois volitans,0.85,True
Sentience,http://www.wikidata.org/entity/Q2488994,sentience,1.0,True
Relation,http://www.wikidata.org/entity/Q930933,relation,1.0,True
Galice,http://www.wikidata.org/entity/Q3908,Galice,1.0,True
O Carballiño,http://www.wikidata.org/entity/Q1607558,O Carballiño,1.0,True
Mauritanie,http://www.wikidata.org/entity/Q1025,Mauritanie,1.0,True
Maroc,http://www.wikidata.org/entity/Q1028,Maroc,1.0,True
Grupo Profand,,,0.0,False
France,http://www.wikidata.org/entity/Q142,France,1.0,True
États américains,,,0.0,False
Netflix,http://www.wikidata.org/entity/Q907311,Netflix,1.0,True
Gastronomie,http://www.wikidata.org/entity/Q171141,gastronomie,1.0,True
chatrou,http://www.wikidata.org/entity/Q5971827,Laurentius Willem Chatrou,0.85,True
Amérique du Nord,http://www.wikidata.org/entity/Q49,Amérique du Nord,1.0,True
Bionique,http://www.wikidata.org/entity/Q189131,bionique,1.0,True
Épouvantail,http://www.wikidata.org/entity/Q912820,épouvantail,1.0,True
