private_predicate,wikidata_id,wikidata_label,method
posséder,P527,has part,manual
faire,,,not_found
utiliser,P366,use,manual
contenir,,,not_found
atteindre,,,not_found
représenter,,,not_found
trouver,P131,located in,manual
agrandir,,,not_found
comprendre,,,not_found
voir,,,not_found
peser,,,not_found
prendre,,,not_found
inclure,,,not_found
modifier,,,not_found
développer,,,not_found
réaliser,,,not_found
attaquer,,,not_found
produire,P1056,product produced,manual
mesurer,,,not_found
consommer,P1034,main food source,manual
désigner,,,not_found
subir,,,not_found
exister,,,not_found
mettre,,,not_found
recouvrir,,,not_found
occuper,,,not_found
nourrir,,,not_found
donne,,,not_found
concerner,,,not_found
devenir,,,not_found
